Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
3,1000,0.6,0.2,50.0,1000,9893,3970,999,48948.863281,0.020409
4,1000,0.6,0.2,50.0,1000,9379,3789,989,49939.703125,0.019804
5,1000,0.6,0.2,50.0,1000,32235,6779,584,48424.199219,0.012060
6,1000,0.6,0.2,50.0,1000,9340,3795,996,49899.996094,0.019960
7,1000,0.6,0.2,50.0,1000,9699,3821,999,50017.328125,0.019973
8,1000,0.6,0.2,50.0,1000,9707,3893,997,50777.597656,0.019635
9,1000,0.6,0.2,50.0,1000,9577,3720,995,51515.273438,0.019315
10,1000,0.6,0.2,50.0,1000,9731,3938,996,49796.062500,0.020002
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,19545,3962,402,49144.093750,0.008180
2,1000,0.8,0.2,50.0,1000,23832,4842,510,48060.828125,0.010612
3,1000,0.8,0.2,50.0,1000,22511,4421,457,49925.363281,0.009154
4,1000,0.8,0.2,50.0,1000,21315,4278,498,50421.550781,0.009877
5,1000,0.8,0.2,50.0,1000,21583,4282,452,49433.230469,0.009144
6,1000,0.8,0.2,50.0,1000,19891,3966,431,50358.109375,0.008559
7,1000,0.8,0.2,50.0,1000,22273,4417,457,49605.546875,0.009213
8,1000,0.8,0.2,50.0,1000,25756,5189,513,49493.199219,0.010365
9,1000,0.8,0.2,50.0,1000,18977,3820,402,49804.023438,0.008072
10,1000,0.8,0.2,50.0,1000,25689,5022,551,50409.070312,0.010931
